team,seed,region,adj_o,adj_d,adj_tempo,barthag,wab,efg_pct,to_pct,orb_pct,ft_rate,efg_d_pct,to_d_pct,drb_pct,ft_rate_d,wins,losses,sos,conf
Tennessee State,15,Midwest,117.5,105.5,68.2,0.815,-3.8,0.492,0.208,0.335,0.322,0.495,0.178,0.722,0.342,23,9,0.25,Ohio Valley
UMBC,16,Midwest,116.5,106.2,67.8,0.775,-4.5,0.512,0.182,0.298,0.365,0.548,0.195,0.745,0.328,24,8,-1.75,America East
Florida,1,South,129.5,92.2,71.5,0.99,3.5,0.572,0.172,0.282,0.348,0.478,0.232,0.752,0.352,26,7,12.85,SEC
Houston,2,South,128.5,92.5,68.8,0.99,3.2,0.525,0.168,0.278,0.378,0.482,0.225,0.752,0.295,28,6,14.15,Big 12
Illinois,3,South,131.2,97.5,73.5,0.99,2.2,0.585,0.168,0.268,0.285,0.472,0.175,0.752,0.272,24,8,9.25,Big Ten
Nebraska,4,South,125.5,97.8,69.5,0.978,1.8,0.545,0.182,0.322,0.325,0.528,0.182,0.695,0.372,26,6,9.25,Big Ten
Vanderbilt,5,South,124.5,98.5,70.2,0.972,1.2,0.548,0.175,0.285,0.318,0.495,0.195,0.728,0.322,26,8,9.85,SEC
North Carolina,6,South,124.2,99.2,73.5,0.965,1.0,0.558,0.172,0.348,0.312,0.532,0.218,0.742,0.368,24,8,10.82,ACC
Saint Mary's,7,South,123.5,99.2,68.8,0.958,0.8,0.498,0.198,0.338,0.335,0.472,0.202,0.695,0.318,27,5,8.52,WCC
Clemson,8,South,120.8,101.5,71.8,0.948,0.2,0.528,0.205,0.328,0.322,0.488,0.182,0.698,0.282,24,10,13.85,ACC
Iowa,9,South,122.0,101.5,68.5,0.945,-0.5,0.542,0.175,0.315,0.328,0.508,0.195,0.725,0.312,21,12,9.52,Big Ten
Texas A&M,10,South,122.8,101.8,70.5,0.942,-0.5,0.538,0.145,0.328,0.322,0.528,0.182,0.695,0.372,21,11,8.52,SEC
VCU,11,South,120.5,97.8,74.5,0.952,-1.5,0.552,0.175,0.308,0.375,0.548,0.225,0.712,0.372,27,7,7.82,A-10
McNeese,12,South,117.5,103.2,68.5,0.848,-1.8,0.518,0.172,0.268,0.362,0.548,0.205,0.742,0.328,28,5,1.85,Southland
Troy,13,South,117.5,104.8,70.5,0.835,-2.5,0.512,0.188,0.315,0.372,0.498,0.185,0.742,0.295,22,11,-0.25,Sun Belt
Penn,14,South,117.2,105.5,65.5,0.805,-3.5,0.528,0.182,0.282,0.348,0.502,0.192,0.742,0.312,18,11,5.85,Ivy
Idaho,15,South,116.8,106.2,69.5,0.775,-4.5,0.522,0.195,0.302,0.342,0.518,0.178,0.728,0.328,21,14,0.25,Big Sky
Lehigh,16,South,115.5,107.5,68.5,0.725,-5.5,0.498,0.215,0.315,0.368,0.525,0.188,0.735,0.342,18,16,-2.25,Patriot
